Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Next,"Ejes af Wolfson-familien som er kendt for deres velgørenhed, der yder støtte til videnskabsinitiativer og kulturelle projekter i Israel. ",.,Uniqlo,Baby- & Børnetøj,Kvinder: Tøj,Kvinder: Sko,Påklædning: Sport,Til hele familien: Sko,Til hele familien: Tøj,Mænd: Sko,,,,,,,,,
Bank of America,Bank of America var en del af en låneaftale på 500 millioner dollars med et konsortium af långivere til den israelske våbenproducent Elbit Systems Ltd.,.,"Merkur, Arbejdernes Landsbank, Lunar Bank",Banker,,,,,,,,,,,,,,,
BNP Paribas,BNP Paribas var en del af en låneaftale på 500 millioner dollars med et konsortium af långivere til fordel for den israelske våbenproducent Elbit Systems Ltd.,.,,Banker,,,,,,,,,,,,,,,
Danske Bank,"Siden 2018 har Danske Bank stillet lån og garantier til rådighed for virksomheder, med forbindelser til bosættelser, til en samlet værdi på næsten 16 milliarder danske kroner. Lånene omfatter også til det tyske HeidelbergCement, der har været kritiseret i årevis for at udvinde naturressourcer fra besat palæstinensisk jord i strid med international lov og for at levere cement til udvidelsen af omkringliggende ulovlige israelske bosættelser.",.,"Merkur, Arbejdernes Landsbank, Lunar Bank",Banker,,,,,,,,,,,,,,,
HSBC,"HSBC investerer i virksomheder, der sælger våben og militært udstyr til Israel, som er blevet anvendt i undertrykkelsen af palæstinenserne.",.,,Banker,,,,,,,,,,,,,,,
Tesla,Tesla annoncerede gratis brug af alle sine Superchargers i Israel efter begivenhederne oktober 2023 som en støttende gestus.,.,,Biler,,,,,,,,,,,,,,,
Toyota Motor Corporation,"Toyota Hilux-køretøjer bruges af den israelske militær og grænsepoliti til at beskytte ulovlige bosættelser og militærbaser langs Vestbredden, til at undertrykke palæstinensiske demonstranter og udføre nedrivninger af huse.",.,,Biler,,,,,,,,,,,,,,,
Carrefour,Carrefour foretog store investeringer i Israel ved at åbne 50 butikker og planlægger at åbne yderligere 100 inden 2024.,.,,Dagligvarer,,,,,,,,,,,,,,,
Sabra,"Sabra, en virksomhed, der er kendt for bl.a. hummus, er delvist ejet af Strauss Group, en israelsk virksomhed. Dermed kan støtte til Sabra indirekte bidrage til Israel på grund af Strauss Groups rapporterede støtte til de israelske forsvarsstyrker.",.,Chtoura,Dagligvarer,,,,,,,,,,,,,,,
Dell,"Michael Dell, grundlæggeren af Dell, er medlem af Friends of the IDF, en organisation der indsamler penge til det israelske militær. Han har doneret millioner hidtil og fortsætter med at gøre det.",.,,Elektronik,,,,,,,,,,,,,,,
